ID,NAME,LAT,LON,FEDERAL_STATE,ADRESS,LINK,FREE/NOT FREE,LOCATION TYPE,INDOOR/OUTDOOR,ALL AUSTRIAN GROUPEMATCHES
38,Donauturm Wien,48.24052192,16.41024471,WIEN,"Donauturmstraße 4, 1220 Wien",www.donauturm.at,NOT FREE,EVENT VENUE,OUTDOOR,YES
39,Dorfplatz St. Lorenzen,46.70166138,12.78333705,KÄRNTEN,"Dorfplatz St. Lorenzen, 9654 St. Lorenzen",,FREE,PUBLIC SPACE,OUTDOOR,NO
40,Down Under Aussie Pub,48.1946,16.3524,WIEN,"Magdalenenstraße 32, 1060 Wien",https://www.downunder.at,FREE,BAR,INDOOR,YES
41,Eduard-Wallnöfer-Platz,47.30752442,11.07244518,TIROL,"Eduard-Wallnöfer-Platz, 6410 Telfs",,FREE,PUBLIC SPACE,OUTDOOR,NO
42,Eventgelände Arneitz,46.57483415,13.93649996,KÄRNTEN,"Seeuferlandesstraße 53, 9583 Faak am See",,FREE,EVENT VENUE,OUTDOOR,NO
43,Fanfarenzug Bregenz,47.50177479,9.739528955,VORARLBERG,"Bahnhofstraße 47, 6900 Bregenz",,FREE,OTHER,OUTDOOR,NO
44,Ferlacher Hauptplatz,46.5266,14.3008,KÄRNTEN,"Kirchgasse 5, 9170 Ferlach",https://www.ferlach.at/system/web/default.aspx?sprache=1,FREE,PUBLIC SPACE,OUTDOOR,NO
45,Feuerwehrhaus FF Wimpassing,47.70128223,16.02510908,NIEDEROESTERREICH,"Dr.Karl Rennergasse 5, 2632 Wimpassing",,FREE,PUBLIC SPACE,OUTDOOR,NO
46,Flora Café Bar,48.55958148,16.07299994,NIEDEROESTERREICH,"Ausstellungsstraße 4b, 2020 Hollabrunn",,NOT FREE,BAR,INDOOR,NO
47,Flughafen Wien,48.11836197,16.56644245,NIEDEROESTERREICH,"Flughafen Wien, Terminal 3, F03 1300Wien-Flughafen",,FREE,PUBLIC SPACE,INDOOR,NO
